0Ayachi0/elk|0.1.0|Apache-2.0|ELK graph auto-layout implementation in Moonbit, supporting layered/fixed/force algorithms.
0Ayachi0/GB18030|0.1.0|Apache-2.0|A comprehensive GB18030 encoding/decoding library for MoonBit
0Ayachi0/math|0.1.0|Apache-2.0|数学计算工具库，包含几何算法与组合数学函数
0Ayachi0/SwissTable|0.1.0|Apache-2.0|High performance implementation of SwissTable hash table
0xA672/moonbit_version_cli|0.10.0|Apache-2.0|CI-native MoonBit version detection tool. JSON output, semver constraint checking via environment variables. Designed for CI pipelines and automation scripts.
0xA672/moonver|0.1.0|Apache-2.0|A MoonBit CLI tool that probes and displays the MoonBit toolchain version using C FFI
0xA672/moonwasm_probe|0.10.0|Apache-2.0|CI-native WASM runtime environment probe. JSON output, env-var-driven checks. Designed for CI pipelines and automation scripts.
0xA672/mwp|0.1.0|Apache-2.0|WASM runtime environment detection tool. Probes installed WASM runtimes (wasmtime, wasmer, wazero, node, etc.) and MoonBit WASM compilation target info.
0xA672/strip|0.1.2|Apache-2.0|Recursively strip empty/null/zero values from JSON-like structures
1123Javayanglei/moonbit_claude_proxy|0.1.0|MIT|Claude Code Proxy - translate Claude API requests to OpenAI-compatible API calls
123123213weqw/moon_proto|0.1.0|MIT|A MoonBit protobuf ecosystem lab for dynamic schema validation, compatibility testing, and AI code verification.
202306123/lib_mbt|0.1.0|Apache-2.0|
2459822546/fwshz|0.1.0|Apache-2.0|
2515050242/cbor|0.1.0|Apache-2.0|A high-performance, standard-compliant CBOR (RFC 8949) serialization library for MoonBit.
2515050243qyf/moon_bencode|0.1.0|Apache-2.0|A fast and compliant Bencode encoder and decoder for MoonBit.
A-23187/encoding|0.1.0|Apache-2.0|
AdUhTkJm/assembler|0.1.1|GPL-3.0-or-later|
AdUhTkJm/bitviewer|0.1.10|GPL-3.0-or-later|A binary parser.
AdUhTkJm/moonc|0.2.16|GPL-3.0-or-later|A frontend of Moonbit language itself.
AdUhTkJm/nummoon|0.2.3|GPL-3.0-or-later|A high-speed native numerical library.
AdUhTkJm/sat-solver|0.1.2|GPL-3.0-or-later|An SAT solver for Moonbit.
AdUhTkJm/u8str|0.1.5|GPL-3.0-or-later|UTF-8 String and its functionalities.
AdUhTkJm/wasmtools|0.1.0|GPL-3.0-or-later|A tool to convert between WebAssembly and WAT.
AlexenderSokolov/moonflowgraph|0.1.0|Apache-2.0|A MoonBit task graph and provenance trace library for reproducible research and agent workflows.
allain/mongodb|0.1.1|Apache-2.0|MongoDB binary wire protocol driver for MoonBit
allwefantasy/readline.mbt|0.1.0|MIT|A complete Node.js readline-compatible library for MoonBit
amor2025/biginteger|0.2.0|Apache-2.0|一个MoonBit 综合大整数库，支持算术运算、幂运算、平方根等更多功能
amor2025/convert|0.3.2|Apache-2.0|这是一个用 Moonbit 编写的类型转换库，提供了将字符串转换为整数、浮点数和布尔值等功能。
amor2025/fraction|0.2.1|Apache-2.0|一个用于处理和操作数学分数 Moonbit 库。
amor2025/moonNum|0.1.0|Apache-2.0|NumPy 的 Moonbit 移植 —— 多维数组、线性代数、FFT、随机数
amor2025/pad|0.1.3|Apache-2.0|用于填充字符串的Moonbit包。
angela/srt|0.1.1|Apache-2.0|
angela/vcf|0.0.5|Apache-2.0|Parse vCard strings
Anxiu0101/yuegui|0.1.3|Apache-2.0|A MoonBit-native static site generator for technical publishing.
applejag/firefly|0.2.0|MIT|A port of the SDK for Firefly Zero, a modern handheld game console using WebAssembly
applejag/micromath|0.3.0|MIT|Embedded math arithmetic, optimized for small code size at the cost of precision
Arcelyth/aitne|0.4.9|MIT|A lightweight and high-performance reactive web framework.
Arcelyth/html_escape|0.3.3|MIT|Escaping/unescaping HTML entities.
ash1day/sql|0.1.0|MIT|Type-safe SQL query builder for MoonBit
Asterless/MoonCoc|0.1.0|Apache-2.0|Minimal Calculus of Constructions core and prefix-style REPL implemented in MoonBit
Asterless/MoonPtime|0.1.2|Apache-2.0|A POSIX time library for MoonBit with picosecond precision, inspired by OCaml's ptime library. Provides immutable time representation, RFC 3339 formatting, and comprehensive time arithmetic operations.
Asterless/MoonQOI|0.1.3|Apache-2.0|QOI (Quite OK Image Format) encoder/decoder library for MoonBit
aurasuisui/indexmap|0.2.1|Apache-2.0|A hash map that preserves insertion order - MoonBit port of Rust's indexmap
AXiX-official/binaryPrimitives|0.1.2|Apache-2.0|BinaryPrimitives for MoonBit.
AXiX-official/xxhash|0.1.0|Apache-2.0|xxHash implementation in MoonBit.
baka-gourd/quickxorhash|0.1.0|MPL-2.0|QuickXorHash on moonbit
baobolong/hello|0.1.0|Apache-2.0|
bellesz0611/moon-mustache|0.1.0|MIT|
Bemly/cstdio-ffi|0.1.0|Apache-2.0|standard C library I/O FFI binding.  对C标准库中stdio的绑定
beso1225/tour|0.1.0|Apache-2.0|
Betterlol/moon_zod|0.7.5|Apache-2.0|A runtime JSON schema validation library for MoonBit, inspired by Zod and Pydantic
BigOrangeQWQ/Bits|0.1.0|Apache-2.0|Moonbit implementations for binary-related data structures, algorithms, and constant collections.
BigOrangeQWQ/fmt|0.2.0|Apache-2.0|A simple and efficient string formatting library for MoonBit.
BigOrangeQWQ/ImmuntableMultiSet|0.1.0|Apache-2.0|data structure for immutable multiset
BigOrangeQWQ/immunt_multiset|0.1.2|Apache-2.0|data structure for immutable multiset
BigOrangeQWQ/immut_multiset|0.1.5|Apache-2.0|data structure for immutable multiset (bag).
